ID	parentID	status	scientificName	authorship	rank	link
3167	xFK	accepted	Leopardus geoffroyi	(d'Orbigny & Gervais, 1844)	species	https://www.speciesplus.net/species#/taxon_concepts/3167/legal
3194	1361	accepted	Nimbaphrynoides occidentalis	Angel, 1943	species	https://www.speciesplus.net/species#/taxon_concepts/3194/legal
3198	xCP	accepted	Pteropus pelewensis	K. Andersen, 1908	species	https://www.speciesplus.net/species#/taxon_concepts/3198/legal
3217	1326	accepted	Achatinella sowerbyana	Pfeiffer, 1855	species	https://www.speciesplus.net/species#/taxon_concepts/3217/legal
3223	xJN	accepted	Syrmaticus humiae	(Hume, 1881)	species	https://www.speciesplus.net/species#/taxon_concepts/3223/legal
3226	xC9	accepted	Potamilus capax	(Green, 1832)	species	https://www.speciesplus.net/species#/taxon_concepts/3226/legal
3239	xTY	accepted	Nilssonia nigricans	(Anderson, 1875)	species	https://www.speciesplus.net/species#/taxon_concepts/3239/legal
3253	xGN	accepted	Anas nesiotis	(J. H. Fleming, 1935)	species	https://www.speciesplus.net/species#/taxon_concepts/3253/legal
3255	xHC	accepted	Equus africanus	Heuglin & Fitzinger, 1866	species	https://www.speciesplus.net/species#/taxon_concepts/3255/legal
32735	xVJ	accepted	Chondrohierax wilsonii	(Cassin, 1847)	species	https://www.speciesplus.net/species#/taxon_concepts/32735/legal
32743	xQS	accepted	Panthera uncia	(Schreber, 1775)	species	https://www.speciesplus.net/species#/taxon_concepts/32743/legal
3283	1747	accepted	Hapalemur griseus	(Link, 1795)	species	https://www.speciesplus.net/species#/taxon_concepts/3283/legal
33077	1973	accepted	Nycticebus javanicus	(É. Geoffroy Saint-Hilaire, 1812)	species	https://www.speciesplus.net/species#/taxon_concepts/33077/legal
3317	xVL	accepted	Unio nickliniana	I. Lea, 1837	species	https://www.speciesplus.net/species#/taxon_concepts/3317/legal
3348	x62	accepted	Lutra nippon	Imaizumi & Yoshiyuki, 1989	species	https://www.speciesplus.net/species#/taxon_concepts/3348/legal
33589	xWK	accepted	Ovis gmelini	Blyth, 1841	species	https://www.speciesplus.net/species#/taxon_concepts/33589/legal
3364	x8L	accepted	Grus japonensis	(Müller, 1776)	species	https://www.speciesplus.net/species#/taxon_concepts/3364/legal
3370	xCP	accepted	Pteropus pilosus	K. Andersen, 1908	species	https://www.speciesplus.net/species#/taxon_concepts/3370/legal
3372	xGB	accepted	Babyrousa babyrussa	(Linnaeus, 1758)	species	https://www.speciesplus.net/species#/taxon_concepts/3372/legal
3388	1326	accepted	Achatinella fuscobasis	(Smith, 1873)	species	https://www.speciesplus.net/species#/taxon_concepts/3388/legal
3399	xFK	accepted	Leopardus tigrinus	(Schreber, 1775)	species	https://www.speciesplus.net/species#/taxon_concepts/3399/legal
34009	1286	accepted	Sousa plumbea	(G. Cuvier, 1829)	species	https://www.speciesplus.net/species#/taxon_concepts/34009/legal
3404	1718	accepted	Pygathrix cinerea	Nadler, 1997	species	https://www.speciesplus.net/species#/taxon_concepts/3404/legal
3436	x33V	accepted	Vicugna vicugna	(Molina, 1782)	species	https://www.speciesplus.net/species#/taxon_concepts/3436/legal
34430	xSX	accepted	Muntiacus vuquangensis	Tuoc, Dung, Dawson, Arctander & Mackinnon, 1994	species	https://www.speciesplus.net/species#/taxon_concepts/34430/legal
3446	xPY	accepted	Crossoptilon crossoptilon	(Hodgson, 1838)	species	https://www.speciesplus.net/species#/taxon_concepts/3446/legal
3450	x36Y	accepted	Pterocnemia pennata	(d'Orbigny, 1834)	species	https://www.speciesplus.net/species#/taxon_concepts/3450/legal
3456	xLN	accepted	Fusconaia cuneolus	(I. Lea, 1840)	species	https://www.speciesplus.net/species#/taxon_concepts/3456/legal
34573	xDZ	accepted	Scleropages inscriptus	Roberts, 2012	species	https://www.speciesplus.net/species#/taxon_concepts/34573/legal
3464	xY3	accepted	Acipenser sturio	Linnaeus, 1758	species	https://www.speciesplus.net/species#/taxon_concepts/3464/legal
3475	xYR	accepted	Fregata andrewsi	Mathews, 1914	species	https://www.speciesplus.net/species#/taxon_concepts/3475/legal
3510	1189	accepted	Cacajao calvus	(I. Geoffroy, 1847)	species	https://www.speciesplus.net/species#/taxon_concepts/3510/legal
3511	2716	accepted	Allocebus trichotis	(Günther, 1875)	species	https://www.speciesplus.net/species#/taxon_concepts/3511/legal
3515	x36H	accepted	Dugong dugon	(P. L. S. Müller, 1776)	species	https://www.speciesplus.net/species#/taxon_concepts/3515/legal
3541	xV	accepted	Semnopithecus schistaceus	Hodgson, 1840	species	https://www.speciesplus.net/species#/taxon_concepts/3541/legal
3548	1446	accepted	Avahi unicolor	Thalmann & Geissmann, 2000	species	https://www.speciesplus.net/species#/taxon_concepts/3548/legal
35601	xQG	accepted	Neofelis diardi	(G. Cuvier, 1823)	species	https://www.speciesplus.net/species#/taxon_concepts/35601/legal
3570	xNB	accepted	Ursus thibetanus	G. Cuvier, 1823	species	https://www.speciesplus.net/species#/taxon_concepts/3570/legal
3587	x349	accepted	Ognorhynchus icterotis	(Massena & Souancé, 1854)	species	https://www.speciesplus.net/species#/taxon_concepts/3587/legal
3598	1491	accepted	Prolemur simus	(Gray, 1871)	species	https://www.speciesplus.net/species#/taxon_concepts/3598/legal
3605	x3B3	accepted	Shinisaurus crocodilurus	Ahl, 1930	species	https://www.speciesplus.net/species#/taxon_concepts/3605/legal
36055	30260	accepted	Hoolock leuconedys	(Groves, 1967)	species	https://www.speciesplus.net/species#/taxon_concepts/36055/legal
3625	xVX	accepted	Blastocerus dichotomus	(Illiger, 1815)	species	https://www.speciesplus.net/species#/taxon_concepts/3625/legal
3627	xCP	accepted	Pteropus loochoensis	Gray, 1870	species	https://www.speciesplus.net/species#/taxon_concepts/3627/legal
3637	1371	accepted	Propithecus deckenii	Peters, 1870	species	https://www.speciesplus.net/species#/taxon_concepts/3637/legal
36868	30260	accepted	Hoolock hoolock	(Harlan, 1834)	species	https://www.speciesplus.net/species#/taxon_concepts/36868/legal
37069	1708	accepted	Loxodonta cyclotis	(Matschie, 1900)	species	https://www.speciesplus.net/species#/taxon_concepts/37069/legal
3712	x392	accepted	Carcharhinus longimanus	(Poey, 1861)	species	https://www.speciesplus.net/species#/taxon_concepts/3712/legal
3721	xDD	accepted	Amazona auropalliata	(Lesson, 1842)	species	https://www.speciesplus.net/species#/taxon_concepts/3721/legal
37340	xZ8	accepted	Aonyx cinereus	(Illiger, 1815)	species	https://www.speciesplus.net/species#/taxon_concepts/37340/legal
3735	xFH	accepted	Eos histrio	(P. L. S. Müller, 1776)	species	https://www.speciesplus.net/species#/taxon_concepts/3735/legal
3763	2545	accepted	Cyclura pinguis	Barbour, 1917	species	https://www.speciesplus.net/species#/taxon_concepts/3763/legal
3767	2522	accepted	Leontopithecus chrysopygus	(Mikan, 1823)	species	https://www.speciesplus.net/species#/taxon_concepts/3767/legal
3780	x37J	accepted	Capra falconeri	(Wagner, 1839)	species	https://www.speciesplus.net/species#/taxon_concepts/3780/legal
3792	xBV	accepted	Harpia harpyja	(Linnaeus, 1758)	species	https://www.speciesplus.net/species#/taxon_concepts/3792/legal
3838	x35G	accepted	Mauremys annamensis	(Siebenrock, 1903)	species	https://www.speciesplus.net/species#/taxon_concepts/3838/legal
3851	1836	accepted	Rhinopithecus roxellana	(Milne-Edwards, 1870)	species	https://www.speciesplus.net/species#/taxon_concepts/3851/legal
388	xQ	accepted	Lepilemuridae	Gray, 1870	family	https://www.speciesplus.net/species#/taxon_concepts/388/legal
3881	x33X	accepted	Capricornis milneedwardsii	David, 1869	species	https://www.speciesplus.net/species#/taxon_concepts/3881/legal
390	xQ	accepted	Cheirogaleidae	Gray, 1873	family	https://www.speciesplus.net/species#/taxon_concepts/390/legal
3913	xCW	accepted	Gorilla beringei	Matschie, 1903	species	https://www.speciesplus.net/species#/taxon_concepts/3913/legal
3922	x3K	accepted	Falco punctatus	Temminck, 1821	species	https://www.speciesplus.net/species#/taxon_concepts/3922/legal
3929	xD2	accepted	Balearica pavonina	(Linnaeus, 1758)	species	https://www.speciesplus.net/species#/taxon_concepts/3929/legal
3939	x33X	accepted	Capricornis rubidus	Blyth, 1863	species	https://www.speciesplus.net/species#/taxon_concepts/3939/legal
3950	xPW	accepted	Amblyrhynchus cristatus	Bell, 1825	species	https://www.speciesplus.net/species#/taxon_concepts/3950/legal
3957	2683	accepted	Hyperoodon planifrons	Flower, 1882	species	https://www.speciesplus.net/species#/taxon_concepts/3957/legal
3972	xQN	accepted	Glyptemys muhlenbergii	(Schoepff, 1801)	species	https://www.speciesplus.net/species#/taxon_concepts/3972/legal
3975	x84	accepted	Balaenoptera borealis	Lesson, 1828	species	https://www.speciesplus.net/species#/taxon_concepts/3975/legal
3982	xD6	accepted	Cyanoramphus saisseti	J. Verreaux & Des Murs, 1860	species	https://www.speciesplus.net/species#/taxon_concepts/3982/legal
4000	1326	accepted	Achatinella byronii	(Wood, 1828)	species	https://www.speciesplus.net/species#/taxon_concepts/4000/legal
4006	xGZ	accepted	Lampsilis virescens	(I. Lea, 1858)	species	https://www.speciesplus.net/species#/taxon_concepts/4006/legal
4019	xGL	accepted	Cacatua moluccensis	(Gmelin, 1788)	species	https://www.speciesplus.net/species#/taxon_concepts/4019/legal
4040	xCP	accepted	Pteropus insularis	Hombron & Jacquinot, 1842	species	https://www.speciesplus.net/species#/taxon_concepts/4040/legal
4052	1343	accepted	Tapirus indicus	Desmarest, 1819	species	https://www.speciesplus.net/species#/taxon_concepts/4052/legal
4060	1189	accepted	Cacajao melanocephalus	(Humboldt, 1812)	species	https://www.speciesplus.net/species#/taxon_concepts/4060/legal
4061	x332	accepted	Lipotes vexillifer	Miller, 1918	species	https://www.speciesplus.net/species#/taxon_concepts/4061/legal
4062	x396	accepted	Dermochelys coriacea	(Vandelli, 1761)	species	https://www.speciesplus.net/species#/taxon_concepts/4062/legal
4085	x4G	accepted	Manis tricuspis	Rafinesque, 1821	species	https://www.speciesplus.net/species#/taxon_concepts/4085/legal
4086	1326	accepted	Achatinella pupukanioe	Pilsbry & Cooke, 1914	species	https://www.speciesplus.net/species#/taxon_concepts/4086/legal
4096	xG6	accepted	Pyxis arachnoides	Bell, 1827	species	https://www.speciesplus.net/species#/taxon_concepts/4096/legal
4118	1973	accepted	Nycticebus bengalensis	(Lacépède, 1800)	species	https://www.speciesplus.net/species#/taxon_concepts/4118/legal
4135	1326	accepted	Achatinella lorata	(Férussac, 1824)	species	https://www.speciesplus.net/species#/taxon_concepts/4135/legal
41377	12877	accepted	Phragmipedium warszewiczianum	(Rchb.f.) Schltr.	species	https://www.speciesplus.net/species#/taxon_concepts/41377/legal
4142	2545	accepted	Cyclura onchiopsis	Cope, 1885	species	https://www.speciesplus.net/species#/taxon_concepts/4142/legal
415	x5T	accepted	Mobulidae		family	https://www.speciesplus.net/species#/taxon_concepts/415/legal
4154	xWH	accepted	Oryx leucoryx	(Pallas, 1777)	species	https://www.speciesplus.net/species#/taxon_concepts/4154/legal
4156	xHC	accepted	Equus grevyi	Oustalet, 1882	species	https://www.speciesplus.net/species#/taxon_concepts/4156/legal
4174	x68	accepted	Branta sandvicensis	(Vigors, 1833)	species	https://www.speciesplus.net/species#/taxon_concepts/4174/legal
4179	xKH	accepted	Strigops habroptila	Gray, 1845	species	https://www.speciesplus.net/species#/taxon_concepts/4179/legal
4183	1326	accepted	Achatinella thaanumi	Pilsbry & Cooke, 1914	species	https://www.speciesplus.net/species#/taxon_concepts/4183/legal
4190	x32P	accepted	Callithrix aurita	(E. Geoffroy in Humboldt, 1812)	species	https://www.speciesplus.net/species#/taxon_concepts/4190/legal
4194	xZN	accepted	Cephalophus jentinki	Thomas, 1892	species	https://www.speciesplus.net/species#/taxon_concepts/4194/legal
4199	x35Q	accepted	Eunymphicus cornutus	(Gmelin, 1788)	species	https://www.speciesplus.net/species#/taxon_concepts/4199/legal
4236	xP9	accepted	Python molurus	(Linnaeus, 1758)	species	https://www.speciesplus.net/species#/taxon_concepts/4236/legal
4243	1326	accepted	Achatinella decora	(Férussac, 1821)	species	https://www.speciesplus.net/species#/taxon_concepts/4243/legal
4246	1326	accepted	Achatinella bulimoides	Swainson, 1828	species	https://www.speciesplus.net/species#/taxon_concepts/4246/legal
4247	865	accepted	Hylobates pileatus	(Gray, 1861)	species	https://www.speciesplus.net/species#/taxon_concepts/4247/legal
4267	x37S	accepted	Crax blumenbachii	Spix, 1825	species	https://www.speciesplus.net/species#/taxon_concepts/4267/legal
4273	x9C	accepted	Saguinus martinsi	(Thomas, 1912)	species	https://www.speciesplus.net/species#/taxon_concepts/4273/legal
4299	x33J	accepted	Gavialis gangeticus	(Gmelin, 1789)	species	https://www.speciesplus.net/species#/taxon_concepts/4299/legal
4303	1973	accepted	Nycticebus coucang	(Boddaert, 1785)	species	https://www.speciesplus.net/species#/taxon_concepts/4303/legal
4306	xMC	accepted	Trichechus senegalensis	Link, 1795	species	https://www.speciesplus.net/species#/taxon_concepts/4306/legal
4329	x84	accepted	Balaenoptera omurai	Wada, Oishi & Yamada, 2003	species	https://www.speciesplus.net/species#/taxon_concepts/4329/legal
4344	xWT	accepted	Naemorhedus baileyi	Pocock, 1914	species	https://www.speciesplus.net/species#/taxon_concepts/4344/legal
4349	xV	accepted	Semnopithecus hypoleucos	Blyth, 1841	species	https://www.speciesplus.net/species#/taxon_concepts/4349/legal
